Date,year,month,day,day_of_week,week_of_year,quarter,day_of_year,is_weekend,is_month_start,is_month_end,is_q3,is_december,sin_7,cos_7,sin_30_5,cos_30_5,sin_365_25,cos_365_25,sin_365,cos_365
2023-07-13,2023,7,13,3,28,3,194,0,0,0,1,0,0.43388373911755823,-0.900968867902419,0.44709379298511387,-0.8944870822287956,-0.19443122004766195,-0.9809161537413774,-0.19443122004766195,-0.9809161537413774
2023-07-14,2023,7,14,4,28,3,195,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,0.2546711202412288,-0.9670277247913204,-0.2112757555821793,-0.9774264960104055,-0.2112757555821793,-0.9774264960104055
2023-07-15,2023,7,15,5,28,3,196,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.05147875477034673,-0.9986740898848305,-0.2280577712215198,-0.9736476020539838,-0.2280577712215198,-0.9736476020539838
2023-07-16,2023,7,16,6,28,3,197,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,-0.15389057670406148,-0.9880878960910772,-0.24477230089725957,-0.9695805901076308,-0.24477230089725957,-0.9695805901076308
2023-07-17,2023,7,17,0,29,3,198,0,0,0,1,0,0.0,1.0,-0.35275208654909473,-0.9357168190404936,-0.2614143985111562,-0.965226663665613,-0.2614143985111562,-0.965226663665613
2023-07-18,2023,7,18,1,29,3,199,0,0,0,1,0,0.7818314824680298,0.6234898018587336,-0.5366961939916003,-0.8437755598231858,-0.2779791393987801,-0.9605871111248129,-0.2779791393987801,-0.9605871111248129
2023-07-19,2023,7,19,2,29,3,200,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,-0.6979441547663433,-0.7161521883143935,-0.2944616217868012,-0.9556633054034704,-0.2944616217868012,-0.9556633054034704
2023-07-20,2023,7,20,3,29,3,201,0,0,0,1,0,0.43388373911755823,-0.900968867902419,-0.8296770135526189,-0.5582437220268648,-0.3108569682435036,-0.9504567035349151,-0.3108569682435036,-0.9504567035349151
2023-07-21,2023,7,21,4,29,3,202,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,-0.9263239682514951,-0.3767278936351848,-0.3271603271220951,-0.9449688462364056,-0.3271603271220951,-0.9449688462364056
2023-07-22,2023,7,22,5,29,3,203,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,-0.9837979515735163,-0.1792807588107359,-0.34336687399638804,-0.939201357453208,-0.34336687399638804,-0.939201357453208
2023-07-23,2023,7,23,6,29,3,204,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,-0.9996684675143132,0.025747913654987745,-0.3594718130884232,-0.9331559438780432,-0.3594718130884232,-0.9331559438780432
2023-07-24,2023,7,24,0,30,3,205,0,0,0,1,0,0.0,1.0,-0.9732643737003827,0.22968774213179508,-0.3754703786876202,-0.9268343944460494,-0.3754703786876202,-0.9268343944460494
2023-07-25,2023,7,25,1,30,3,206,0,0,0,1,0,0.7818314824680298,0.6234898018587336,-0.9057022630804715,0.42391439070986053,-0.3913578365610259,-0.9202385798054075,-0.3913578365610259,-0.9202385798054075
2023-07-26,2023,7,26,2,30,3,207,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,-0.7998392447397193,0.6002142805483683,-0.4071294853542516,-0.9133704517637858,-0.4071294853542516,-0.9133704517637858
2023-07-27,2023,7,27,3,30,3,208,0,0,0,1,0,0.43388373911755823,-0.900968867902419,-0.6601521206712321,0.7511319308705195,-0.4227806579826773,-0.9062320427107697,-0.4227806579826773,-0.9062320427107697
2023-07-28,2023,7,28,4,30,3,209,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,-0.4925480679538645,0.8702852410301551,-0.4383067230125192,-0.898825465016444,-0.4383067230125192,-0.898825465016444
2023-07-29,2023,7,29,5,30,3,210,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,-0.30411483232751774,0.9526353808033826,-0.45370308603134424,-0.8911529104063088,-0.45370308603134424,-0.8911529104063088
2023-07-30,2023,7,30,6,30,3,211,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,-0.1028209971373608,0.9946998756145891,-0.46896519100763184,-0.8832166493127127,-0.46896519100763184,-0.8832166493127127
2023-07-31,2023,7,31,0,31,3,212,0,0,1,1,0,0.0,1.0,0.10282099713736031,0.9946998756145891,-0.48408852163897587,-0.8750190302029955,-0.48408852163897587,-0.8750190302029955
2023-08-01,2023,8,1,1,31,3,213,0,1,0,1,0,0.7818314824680298,0.6234898018587336,0.2045520661262008,0.9788556850953578,-0.4990686026885319,-0.8665624788845385,-0.4990686026885319,-0.8665624788845385
2023-08-02,2023,8,2,2,31,3,214,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,0.40045390565126643,0.9163169044870048,-0.5139010013093103,-0.8578494977869301,-0.5139010013093103,-0.8578494977869301
2023-08-03,2023,8,3,3,31,3,215,0,0,0,1,0,0.43388373911755823,-0.900968867902419,0.5794210982045637,0.8150283375168114,-0.5285813283559292,-0.8488826652214553,-0.5285813283559292,-0.8488826652214553
2023-08-04,2023,8,4,4,31,3,216,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,0.733885366432199,0.6792733388972931,-0.5431052396834317,-0.8396646346181327,-0.5431052396834317,-0.8396646346181327
2023-08-05,2023,8,5,5,31,3,217,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.8573146280763323,0.5147928015098308,-0.5574684374327892,-0.8301981337405212,-0.5574684374327892,-0.8301981337405212
2023-08-06,2023,8,6,6,31,3,218,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,0.9444892287836613,0.32854238191083485,-0.5716666713027052,-0.8204859638785327,-0.5716666713027052,-0.8204859638785327
2023-08-07,2023,8,7,0,32,3,219,0,0,0,1,0,0.0,1.0,0.9917226741361015,0.12839835514655099,-0.5856957398073508,-0.8105309990194823,-0.5856957398073508,-0.8105309990194823
2023-08-08,2023,8,8,1,32,3,220,0,0,0,1,0,0.7818314824680298,0.6234898018587336,0.9970175264485267,-0.07717546212664618,-0.5995514915196489,-0.8003361849976323,-0.5995514915196489,-0.8003361849976323
2023-08-09,2023,8,9,2,32,3,221,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,0.9601498736716018,-0.2794856348516094,-0.6132298262997502,-0.7899045386224707,-0.6132298262997502,-0.7899045386224707
2023-08-10,2023,8,10,3,32,3,222,0,0,0,1,0,0.43388373911755823,-0.900968867902419,0.8826787983255474,-0.46997674302732007,-0.6267266965083301,-0.7792391467859886,-0.6267266965083301,-0.7792391467859886
2023-08-11,2023,8,11,4,32,3,223,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,0.7678804460366001,-0.6405931786981751,-0.6400381082043503,-0.7683431655492202,-0.6400381082043503,-0.7683431655492202
2023-08-12,2023,8,12,5,32,3,224,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.620609481827423,-0.7841198065767103,-0.65316012232693,-0.7572198192083127,-0.65316012232693,-0.7572198192083127
2023-08-13,2023,8,13,6,32,3,225,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,0.44709379298511387,-0.8944870822287956,-0.666088855860977,-0.7458723993404063,-0.666088855860977,-0.7458723993404063
2023-08-14,2023,8,14,0,33,3,226,0,0,0,1,0,0.0,1.0,0.2546711202412288,-0.9670277247913204,-0.6788204829862355,-0.734304263829602,-0.6788204829862355,-0.734304263829602
2023-08-15,2023,8,15,1,33,3,227,0,0,0,1,0,0.7818314824680298,0.6234898018587336,0.05147875477034673,-0.9986740898848305,-0.6913512362094071,-0.722518835873311,-0.6913512362094071,-0.722518835873311
2023-08-16,2023,8,16,2,33,3,228,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,-0.15389057670406148,-0.9880878960910772,-0.7036774074790128,-0.7105196029692745,-0.7036774074790128,-0.7105196029692745
2023-08-17,2023,8,17,3,33,3,229,0,0,0,1,0,0.43388373911755823,-0.900968867902419,-0.35275208654909473,-0.9357168190404936,-0.7157953492826642,-0.6983101158835584,-0.7157953492826642,-0.6983101158835584
2023-08-18,2023,8,18,4,33,3,230,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,-0.5366961939916003,-0.8437755598231858,-0.7277014757264236,-0.6858939875998223,-0.7277014757264236,-0.6858939875998223
2023-08-19,2023,8,19,5,33,3,231,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,-0.6979441547663433,-0.7161521883143935,-0.7393922635959241,-0.673274892250183,-0.7393922635959241,-0.673274892250183
2023-08-20,2023,8,20,6,33,3,232,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,-0.8296770135526189,-0.5582437220268648,-0.7508642533989489,-0.6604565640279754,-0.7508642533989489,-0.6604565640279754
2023-08-21,2023,8,21,0,34,3,233,0,0,0,1,0,0.0,1.0,-0.9263239682514951,-0.3767278936351848,-0.7621140503891487,-0.6474427960827475,-0.7621140503891487,-0.6474427960827475
2023-08-22,2023,8,22,1,34,3,234,0,0,0,1,0,0.7818314824680298,0.6234898018587336,-0.9837979515735163,-0.1792807588107359,-0.7731383255706026,-0.6342374393978054,-0.7731383255706026,-0.6342374393978054
2023-08-23,2023,8,23,2,34,3,235,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,-0.9996684675143132,0.025747913654987745,-0.7839338166829201,-0.620844401650647,-0.7839338166829201,-0.620844401650647
2023-08-24,2023,8,24,3,34,3,236,0,0,0,1,0,0.43388373911755823,-0.900968867902419,-0.9732643737003827,0.22968774213179508,-0.7944973291665992,-0.6072676460566135,-0.7944973291665992,-0.6072676460566135
2023-08-25,2023,8,25,4,34,3,237,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,-0.9057022630804715,0.42391439070986053,-0.8048257371083452,-0.593511190196115,-0.8048257371083452,-0.593511190196115
2023-08-26,2023,8,26,5,34,3,238,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,-0.7998392447397193,0.6002142805483683,-0.8149159841660791,-0.5795791048257612,-0.8149159841660791,-0.5795791048257612
2023-08-27,2023,8,27,6,34,3,239,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,-0.6601521206712321,0.7511319308705195,-0.8247650844733614,-0.5654755126737576,-0.8247650844733614,-0.5654755126737576
2023-08-28,2023,8,28,0,35,3,240,0,0,0,1,0,0.0,1.0,-0.4925480679538645,0.8702852410301551,-0.8343701235229538,-0.5512045872199277,-0.8343701235229538,-0.5512045872199277
2023-08-29,2023,8,29,1,35,3,241,0,0,0,1,0,0.7818314824680298,0.6234898018587336,-0.30411483232751774,0.9526353808033826,-0.8437282590292712,-0.5367705514607103,-0.8437282590292712,-0.5367705514607103
2023-08-30,2023,8,30,2,35,3,242,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,-0.1028209971373608,0.9946998756145891,-0.8528367217694595,-0.522177676659508,-0.8528367217694595,-0.522177676659508
2023-08-31,2023,8,31,3,35,3,243,0,0,1,1,0,0.43388373911755823,-0.900968867902419,0.10282099713736031,0.9946998756145891,-0.8616928164028522,-0.5074302810827518,-0.8616928164028522,-0.5074302810827518
2023-09-01,2023,9,1,4,35,3,244,0,1,0,1,0,-0.433883739117558,-0.9009688679024191,0.2045520661262008,0.9788556850953578,-0.8702939222685674,-0.49253272872205434,-0.8702939222685674,-0.49253272872205434
2023-09-02,2023,9,2,5,35,3,245,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.40045390565126643,0.9163169044870048,-0.8786374941610001,-0.4774894280028391,-0.8786374941610001,-0.4774894280028391
2023-09-03,2023,9,3,6,35,3,246,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,0.5794210982045637,0.8150283375168114,-0.886721063082993,-0.46230483047981086,-0.886721063082993,-0.46230483047981086
2023-09-04,2023,9,4,0,36,3,247,0,0,0,1,0,0.0,1.0,0.733885366432199,0.6792733388972931,-0.8945422369764496,-0.4469834295196741,-0.8945422369764496,-0.4469834295196741
2023-09-05,2023,9,5,1,36,3,248,0,0,0,1,0,0.7818314824680298,0.6234898018587336,0.8573146280763323,0.5147928015098308,-0.9020987014301837,-0.43152975897147144,-0.9020987014301837,-0.43152975897147144
2023-09-06,2023,9,6,2,36,3,249,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,0.9444892287836613,0.32854238191083485,-0.9093882203647925,-0.4159483918249421,-0.9093882203647925,-0.4159483918249421
2023-09-07,2023,9,7,3,36,3,250,0,0,0,1,0,0.43388373911755823,-0.900968867902419,0.9917226741361015,0.12839835514655099,-0.9164086366943458,-0.4002439388573056,-0.9164086366943458,-0.4002439388573056
2023-09-08,2023,9,8,4,36,3,251,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,0.9970175264485267,-0.07717546212664618,-0.9231578729647039,-0.38442104726885545,-0.9231578729647039,-0.38442104726885545
2023-09-09,2023,9,9,5,36,3,252,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0.9601498736716018,-0.2794856348516094,-0.9296339319682695,-0.3684843993077793,-0.9296339319682695,-0.3684843993077793
2023-09-10,2023,9,10,6,36,3,253,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,0.8826787983255474,-0.46997674302732007,-0.9358348973349941,-0.35243871088460327,-0.9358348973349941,-0.35243871088460327
2023-09-11,2023,9,11,0,37,3,254,0,0,0,1,0,0.0,1.0,0.7678804460366001,-0.6405931786981751,-0.9417589340994617,-0.33628873017668287,-0.9417589340994617,-0.33628873017668287
2023-09-12,2023,9,12,1,37,3,255,0,0,0,1,0,0.7818314824680298,0.6234898018587336,0.620609481827423,-0.7841198065767103,-0.9474042892438845,-0.32003923622313857,-0.9474042892438845,-0.32003923622313857
2023-09-13,2023,9,13,2,37,3,256,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,0.44709379298511387,-0.8944870822287956,-0.9527692922168511,-0.30369503751065885,-0.9527692922168511,-0.30369503751065885
2023-09-14,2023,9,14,3,37,3,257,0,0,0,1,0,0.43388373911755823,-0.900968867902419,0.2546711202412288,-0.9670277247913204,-0.9578523554276669,-0.28726097055059635,-0.9578523554276669,-0.28726097055059635
2023-09-15,2023,9,15,4,37,3,258,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,0.05147875477034673,-0.9986740898848305,-0.9626519747161487,-0.2707418984477642,-0.9626519747161487,-0.2707418984477642
2023-09-16,2023,9,16,5,37,3,259,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,-0.15389057670406148,-0.9880878960910772,-0.9671667297977312,-0.2541427094613622,-0.9671667297977312,-0.2541427094613622
2023-09-17,2023,9,17,6,37,3,260,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,-0.35275208654909473,-0.9357168190404936,-0.97139528468375,-0.23746831555846842,-0.97139528468375,-0.23746831555846842
2023-09-18,2023,9,18,0,38,3,261,0,0,0,1,0,0.0,1.0,-0.5366961939916003,-0.8437755598231858,-0.9753363880767837,-0.2207236509605022,-0.9753363880767837,-0.2207236509605022
2023-09-19,2023,9,19,1,38,3,262,0,0,0,1,0,0.7818314824680298,0.6234898018587336,-0.6979441547663433,-0.7161521883143935,-0.9789888737409319,-0.20391367068311472,-0.9789888737409319,-0.20391367068311472
2023-09-20,2023,9,20,2,38,3,263,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,-0.8296770135526189,-0.5582437220268648,-0.9823516608469237,-0.18704334906991657,-0.9823516608469237,-0.18704334906991657
2023-09-21,2023,9,21,3,38,3,264,0,0,0,1,0,0.43388373911755823,-0.900968867902419,-0.9263239682514951,-0.3767278936351848,-0.9854237542919524,-0.17011767832049052,-0.9854237542919524,-0.17011767832049052
2023-09-22,2023,9,22,4,38,3,265,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,-0.9837979515735163,-0.1792807588107359,-0.9882042449941422,-0.15314166701312007,-0.9882042449941422,-0.15314166701312007
2023-09-23,2023,9,23,5,38,3,266,1,0,0,1,0,-0.9749279121818236,-0.2225209339563146,-0.9996684675143132,0.025747913654987745,-0.9906923101615609,-0.13612033862266704,-0.9906923101615609,-0.13612033862266704
2023-09-24,2023,9,24,6,38,3,267,1,0,0,1,0,-0.7818314824680299,0.6234898018587334,-0.9732643737003827,0.22968774213179508,-0.9928872135356962,-0.11905873003404988,-0.9928872135356962,-0.11905873003404988
2023-09-25,2023,9,25,0,39,3,268,0,0,0,1,0,0.0,1.0,-0.9057022630804715,0.42391439070986053,-0.994788305609327,-0.10196189005174576,-0.994788305609327,-0.10196189005174576
2023-09-26,2023,9,26,1,39,3,269,0,0,0,1,0,0.7818314824680298,0.6234898018587336,-0.7998392447397193,0.6002142805483683,-0.9963950238187231,-0.08483487790576538,-0.9963950238187231,-0.08483487790576538
2023-09-27,2023,9,27,2,39,3,270,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,-0.6601521206712321,0.7511319308705195,-0.9977068927101168,-0.06768276175455162,-0.9977068927101168,-0.06768276175455162
2023-09-28,2023,9,28,3,39,3,271,0,0,0,1,0,0.43388373911755823,-0.900968867902419,-0.4925480679538645,0.8702852410301551,-0.9987235240803972,-0.050510617185222886,-0.9987235240803972,-0.050510617185222886
2023-09-29,2023,9,29,4,39,3,272,0,0,0,1,0,-0.433883739117558,-0.9009688679024191,-0.30411483232751774,0.9526353808033826,-0.9994446170919858,-0.033323525711631344,-0.9994446170919858,-0.033323525711631344
2023-09-30,2023,9,30,5,39,3,273,1,0,1,1,0,-0.9749279121818236,-0.2225209339563146,-0.1028209971373608,0.9946998756145891,-0.9998699583618592,-0.016126573270657762,-0.9998699583618592,-0.016126573270657762
2023-10-01,2023,10,1,6,39,4,274,1,1,0,0,0,-0.7818314824680299,0.6234898018587334,0.2045520661262008,0.9788556850953578,-0.9999994220246925,0.001075151282798226,-0.9999994220246925,0.001075151282798226
2023-10-02,2023,10,2,0,40,4,275,0,0,0,0,0,0.0,1.0,0.40045390565126643,0.9163169044870048,-0.999832969770105,0.018276557681691223,-0.999832969770105,0.018276557681691223
2023-10-03,2023,10,3,1,40,4,276,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.5794210982045637,0.8150283375168114,-0.9993706508539969,0.03547255575312556,-0.9993706508539969,0.03547255575312556
2023-10-04,2023,10,4,2,40,4,277,0,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.733885366432199,0.6792733388972931,-0.9986126020839734,0.052658056924614005,-0.9986126020839734,0.052658056924614005
2023-10-05,2023,10,5,3,40,4,278,0,0,0,0,0,0.43388373911755823,-0.900968867902419,0.8573146280763323,0.5147928015098308,-0.9975590477788613,0.06982797572987089,-0.9975590477788613,0.06982797572987089
